"Entidad_federativa","Nivel_educativo","Maestros","Escuelas","ciclo"
"Querétaro","Media superior",2501,125,"2000-2001"
"Querétaro","Superior",3277,66,"2000-2001"
"Quintana Roo","Preescolar",1332,521,"2000-2001"
"Quintana Roo","Primaria",4604,719,"2000-2001"
"Quintana Roo","Secundaria",2958,239,"2000-2001"
"Quintana Roo","Media superior",1818,84,"2000-2001"
"Quintana Roo","Superior",978,24,"2000-2001"
"San Luis Potosí","Preescolar",5299,2691,"2000-2001"
"San Luis Potosí","Primaria",14616,3507,"2000-2001"
"San Luis Potosí","Secundaria",9331,1451,"2000-2001"
"San Luis Potosí","Media superior",4679,277,"2000-2001"
"San Luis Potosí","Superior",3640,84,"2000-2001"
"Sinaloa","Preescolar",4509,2402,"2000-2001"
"Sinaloa","Primaria",13850,3036,"2000-2001"
"Sinaloa","Secundaria",10048,723,"2000-2001"
"Sinaloa","Media superior",6258,312,"2000-2001"
"Sinaloa","Superior",4934,118,"2000-2001"
"Sonora","Preescolar",3271,1463,"2000-2001"
"Sonora","Primaria",11557,1840,"2000-2001"
"Sonora","Secundaria",6973,622,"2000-2001"
"Sonora","Media superior",5477,286,"2000-2001"
"Sonora","Superior",5394,106,"2000-2001"
"Tabasco","Preescolar",3730,1828,"2000-2001"
"Tabasco","Primaria",10062,2173,"2000-2001"
"Tabasco","Secundaria",5799,593,"2000-2001"
"Tabasco","Media superior",3584,185,"2000-2001"
"Tabasco","Superior",2870,49,"2000-2001"
"Tamaulipas","Preescolar",3851,1585,"2000-2001"
"Tamaulipas","Primaria",13786,2477,"2000-2001"
"Tamaulipas","Secundaria",8074,597,"2000-2001"
"Tamaulipas","Media superior",5483,260,"2000-2001"
"Tamaulipas","Superior",7956,179,"2000-2001"
"Tlaxcala","Preescolar",1495,663,"2000-2001"
"Tlaxcala","Primaria",5360,716,"2000-2001"
"Tlaxcala","Secundaria",3500,290,"2000-2001"
"Tlaxcala","Media superior",2307,127,"2000-2001"
"Tlaxcala","Superior",1594,43,"2000-2001"
"Veracruz","Preescolar",12950,7051,"2000-2001"
"Veracruz","Primaria",44644,9821,"2000-2001"
"Veracruz","Secundaria",18362,2278,"2000-2001"
"Veracruz","Media superior",13309,1071,"2000-2001"
"Veracruz","Superior",9344,263,"2000-2001"
"Yucatán","Preescolar",2617,1023,"2000-2001"
"Yucatán","Primaria",9056,1420,"2000-2001"
"Yucatán","Secundaria",6979,474,"2000-2001"
"Yucatán","Media superior",4611,229,"2000-2001"
"Yucatán","Superior",3073,102,"2000-2001"
"Zacatecas","Preescolar",2911,1539,"2000-2001"
"Zacatecas","Primaria",8830,2198,"2000-2001"
"Zacatecas","Secundaria",4780,1023,"2000-2001"
"Zacatecas","Media superior",2171,124,"2000-2001"
"Zacatecas","Superior",2003,59,"2000-2001"
"Aguascalientes","Preescolar",1830,606,"2005-2006"
"Aguascalientes","Primaria",5127,711,"2005-2006"
"Aguascalientes","Secundaria",4384,323,"2005-2006"
"Aguascalientes","Media superior",2871,141,"2005-2006"
"Aguascalientes","Superior",3383,59,"2005-2006"
"Baja California","Preescolar",4400,1276,"2005-2006"
"Baja California","Primaria",13747,1555,"2005-2006"
"Baja California","Secundaria",9855,505,"2005-2006"
"Baja California","Media superior",6482,248,"2005-2006"
"Baja California","Superior",7663,151,"2005-2006"
"Baja California Sur","Preescolar",922,331,"2005-2006"
"Baja California Sur","Primaria",2591,397,"2005-2006"
"Baja California Sur","Secundaria",1895,133,"2005-2006"
"Baja California Sur","Media superior",1565,71,"2005-2006"
"Baja California Sur","Superior",1849,34,"2005-2006"
"Campeche","Preescolar",1370,689,"2005-2006"
"Campeche","Primaria",4219,826,"2005-2006"
"Campeche","Secundaria",2599,261,"2005-2006"
"Campeche","Media superior",2125,105,"2005-2006"
"Campeche","Superior",2071,79,"2005-2006"
"Coahuila","Preescolar",4194,1754,"2005-2006"
"Coahuila","Primaria",12118,1822,"2005-2006"
"Coahuila","Secundaria",9211,496,"2005-2006"
"Coahuila","Media superior",6595,374,"2005-2006"
"Coahuila","Superior",8167,172,"2005-2006"
